Event Name,Event Date,Event Location,Event Type,Event Region,Longitude,Latitude,Weather Forecast
A/political Rocks,Now through 1/31/2024,Henry Art Gallery,Museums,University District,-122.31173279895636,47.6565246,Not available
Sophia Al-Maria,Now through 1/31/2024,Henry Art Gallery,Museums,University District,-122.31173279895636,47.6565246,Not available
Jahari Stampley,1/30/2024 through 1/31/2024,Dimitriou's Jazz Alley,Music,Downtown,-122.339691,47.6148163,Not available
FRAKTURED: Home of the Broken Beat,1/31/2024,High Dive,Music,Fremont / Ballard,-93.631911,41.7111511,Not available
G3- 25th Anniversary reunion,1/31/2024,The Moore Theatre,Music,Downtown,-83.7207314,42.2896932,Not available
JP Saxe,1/31/2024,The Showbox,Music,Downtown,-122.3394726,47.6085136,Not available
Los Lobos,1/31/2024,The Triple Door,Music,Downtown,-122.337685,47.6086439,Not available
The Daimonics,1/31/2024,The Royal Room,Music,South Seattle,-110.9685178,32.2275723,Not available
BabyTron,2/1/2024,The Showbox,Music,Downtown,-122.3394726,47.6085136,Not available
Battlestar Kalakala,2/1/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,-122.332319,47.6615049,Not available
Catalyzing Change with Akuyea Karen Vargas,2/1/2024,Bainbridge Island Museum of Art,Readings & Lectures,West,-122.51453295865404,47.6251322,Not available
Exceptional Failures,2/1/2024,Tractor Tavern,Music,Fremont / Ballard,-122.38280295082915,47.6657081,Not available
Jamila Woods,2/1/2024,Neumos,Music,Capitol Hill / Central District,-122.3196108,47.613954,Not available
Jazz is Dead: Blue Note 85,2/1/2024,The Neptune Theatre,Music,University District,Not available,Not available,Not available
Michelle Cann,2/1/2024,Meany Center for the Performing Arts,Music,University District,Not available,Not available,Not available
Pakt,2/1/2024,Funhouse,Music,Capitol Hill / Central District,-72.2840663,43.6576535,Not available
Public Theatre,2/1/2024,Barboza,Music,Capitol Hill / Central District,-41.0275842,-13.248885,Not available
American Flats Album Release,2/2/2024,The Royal Room,Music,South Seattle,-110.9685178,32.2275723,Not available
Erik Walters,2/2/2024,Barboza,Music,Capitol Hill / Central District,-41.0275842,-13.248885,Not available
Memoir,2/2/2024,Benaroya Hall,Music,Downtown,-122.33697040702705,47.60811665,Not available
Nora En Pure,2/2/2024,Showbox SoDo,Music,Pioneer Square,-122.333928,47.5880461,Not available
Poolside,2/2/2024,The Showbox,Music,Downtown,-122.3394726,47.6085136,Not available
Tacoma Stars vs. Monterrey Flash,2/2/2024,accesso ShoWare Center,Sports,South,-122.24000381780328,47.38765995,Not available
Jaha Koo: The History of Korean Western Theatre,2/1/2024 through 2/3/2024,On The Boards,Theatre,Queen Anne / Seattle Center,Not found,Not found,Not available
The Winds: Medley of Emotions,2/2/2024 through 2/3/2024,Benaroya Hall,Music,Downtown,Not available,Not available,Not available
All Will Suffer,2/3/2024,Funhouse,Music,Capitol Hill / Central District,Not available,Not available,Not available
Banned & Beloved,2/3/2024,Town Hall Seattle,Music,Downtown,Not available,Not available,Not available
Cold War Kids – 20 Years Tour,2/3/2024,The Moore Theatre,Music,Downtown,Not available,Not available,Not available
Mau P,2/3/2024,The Showbox,Music,Downtown,Not available,Not available,Not available
Oble,2/3/2024,Barboza,Music,Capitol Hill / Central District,Not available,Not available,Not available
Randy Rainbow for President,2/3/2024,The Paramount Theatre,Theatre,Downtown,Not available,Not available,Not available
The Delta Bombers,2/3/2024,El Corazon,Music,Downtown,Not available,Not available,Not available
The Grave Plot Film Fest part 6,2/3/2024,Ark Lodge Cinemas,Film & Media Arts,South Seattle,Not available,Not available,Not available
Seattle Chamber Music Winter Festival,Now through 2/4/2024,Benaroya Hall,Music,Downtown,Not available,Not available,Not available
Beethoven Emperor Concerto,2/1/2024 through 2/4/2024,Benaroya Hall,Music,Downtown,Not available,Not available,Not available
Sergio Mendes,2/1/2024 through 2/4/2024,Dimitriou's Jazz Alley,Music,Downtown,Not available,Not available,Not available
Daniel Tiger’s Neighborhood,2/4/2024,The Paramount Theatre,Theatre,Downtown,Not available,Not available,Not available
Family Art Day: La Vaughn Belle,2/4/2024,National Nordic Museum,Museums,Fremont / Ballard,Not available,Not available,Not available
Lil Skies,2/4/2024,The Showbox,Music,Downtown,Not available,Not available,Not available
Secular and Sacred,2/4/2024,Town Hall Seattle,Music,Downtown,Not available,Not available,Not available
Criminal,2/5/2024,The Moore Theatre,Theatre,Downtown,Not available,Not available,Not available
Neck Deep,2/5/2024,Showbox SoDo,Music,Pioneer Square,Not available,Not available,Not available
Kazu Kibuishi with Donna Barba Higuera,2/6/2024,Town Hall Seattle,Readings & Lectures,Downtown,Not available,Not available,Not available
Kristin Hannah,2/6/2024,Benaroya Hall,Readings & Lectures,Downtown,Not available,Not available,Not available
Michael J. Gerhardt,2/6/2024,Town Hall Seattle,Readings & Lectures,Downtown,Not available,Not available,Not available
Night Lovell,2/6/2024,The Showbox,Music,Downtown,Not available,Not available,Not available
Soja,2/6/2024,The Neptune Theatre,Music,University District,Not available,Not available,Not available
Kenny Barron Trio,2/6/2024 through 2/7/2024,Dimitriou's Jazz Alley,Music,Downtown,Not available,Not available,Not available
Dimiter,2/7/2024,Sunset Tavern,Music,Fremont / Ballard,Not available,Not available,Not available
Tamara Payne: The Life and Legacy of Malcolm X,2/7/2024,Town Hall Seattle,Readings & Lectures,Downtown,Not available,Not available,Not available
The Kills,2/7/2024,Showbox SoDo,Music,Pioneer Square,Not available,Not available,Not available
An Evening with Tina Campt: Black Feminist Visual Culture,2/8/2024,Town Hall Seattle,Readings & Lectures,Downtown,Not available,Not available,Not available
Art and Transformation,2/8/2024,Bainbridge Island Museum of Art,Readings & Lectures,West,Not available,Not available,Not available
Eric Bellinger,2/8/2024,The Showbox,Music,Downtown,Not available,Not available,Not available
Futurebirds and Nude Party,2/8/2024,The Neptune Theatre,Music,University District,Not available,Not available,Not available
Ilana Glazer Live,2/8/2024,The Moore Theatre,Theatre,Downtown,Not available,Not available,Not available
Mister Blank,2/8/2024,Nectar Lounge,Music,Fremont / Ballard,Not available,Not available,Not available
The Thorn,2/8/2024 through 2/9/2024,The Paramount Theatre,Theatre,Downtown,Not available,Not available,Not available
Barry Can’t Swim,2/9/2024,Neumos,Music,Capitol Hill / Central District,Not available,Not available,Not available
Dark Star Orchestra,2/9/2024,The Showbox,Music,Downtown,Not available,Not available,Not available
Gov’t Mule,2/9/2024,The Moore Theatre,Music,Downtown,Not available,Not available,Not available
Ijeoma Oluo: Be A Revolution,2/9/2024,Town Hall Seattle,Readings & Lectures,Downtown,Not available,Not available,Not available
Mayer Hawthorne,2/9/2024,The Neptune Theatre,Music,University District,Not available,Not available,Not available
Moontricks,2/9/2024,The Crocodile,Music,Downtown,Not available,Not available,Not available
OBOE / OBOE,2/9/2024,415 Westlake,Music,Queen Anne / Seattle Center,Not available,Not available,Not available
Roots and Wings,2/9/2024,Rendezvous JewelBox Theater,Theatre,Downtown,Not available,Not available,Not available
Seattle Boat Show,2/2/2024 through 2/10/2024,Lumen Field,Festivals & Special Events,Pioneer Square,Not available,Not available,Not available
Randall Goosby Plays Mozart,2/8/2024 through 2/10/2024,Benaroya Hall,Music,Downtown,Not available,Not available,Not available
Art by Design,2/9/2024 through 2/10/2024,Seattle Design Center,Visual Arts & Galleries,Downtown,Not available,Not available,Not available
The Love Show,2/9/2024 through 2/10/2024,The Royal Room,Theatre,South Seattle,Not available,Not available,Not available
Brazilian Carnaval 2024,2/10/2024,The Crocodile,Music,Downtown,Not available,Not available,Not available
Chase Rice,2/10/2024,Showbox SoDo,Music,Pioneer Square,Not available,Not available,Not available
Joe “Mr. D”  Dombrowski,2/10/2024,The Moore Theatre,Theatre,Downtown,Not available,Not available,Not available
JVNA,2/10/2024,The Showbox,Music,Downtown,Not available,Not available,Not available
Linda From Work,2/10/2024,Barboza,Music,Capitol Hill / Central District,Not available,Not available,Not available
The Brother Brothers,2/10/2024,Tractor Tavern,Music,Fremont / Ballard,Not available,Not available,Not available
The Temptations &  The Four Tops,2/10/2024,The Paramount Theatre,Music,Downtown,Not available,Not available,Not available
Quixote Nuevo,Now through 2/11/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center,Not available,Not available,Not available
Kent Stowell’s Swan Lake,2/2/2024 through 2/11/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,Not available,Not available,Not available
Blood Sweat  and Tears,2/8/2024 through 2/11/2024,Dimitriou's Jazz Alley,Music,Downtown,Not available,Not available,Not available
Love at the Zoo,2/10/2024 through 2/11/2024,Point Defiance Zoo and Aquarium,Festivals & Special Events,South,Not available,Not available,Not available
Scott Bradlee’s Postmodern Jukebox,2/11/2024,The Paramount Theatre,Music,Downtown,Not available,Not available,Not available
Tourist and Amtrac,2/11/2024,The Showbox,Music,Downtown,Not available,Not available,Not available
6th Annual Sami Film Festival,2/9/2024 through 2/12/2024,Majestic Bay Theatres,Museums,Fremont / Ballard,Not available,Not available,Not available
Eliades Ochoa,2/13/2024,The Moore Theatre,Music,Downtown,Not available,Not available,Not available
K. Wayne Yang,2/13/2024,Town Hall Seattle,Readings & Lectures,Downtown,Not available,Not available,Not available
Juanes,2/14/2024,The Moore Theatre,Music,Downtown,Not available,Not available,Not available
Black Dogs,2/15/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,Not available,Not available,Not available
Hear Me Talkin’ to You: Womxn and Blues,2/15/2024,The Royal Room,Music,South Seattle,Not available,Not available,Not available
Maddie Zahm,2/15/2024,The Neptune Theatre,Music,University District,Not available,Not available,Not available
Silversun Pickups,2/15/2024,The Moore Theatre,Music,Downtown,Not available,Not available,Not available
The Brodies,2/15/2024,High Dive,Music,Fremont / Ballard,Not available,Not available,Not available
Cory Wong Winter 2024 Tour,2/16/2024,The Paramount Theatre,Music,Downtown,Not available,Not available,Not available
Left on Tenth,2/16/2024,High Dive,Music,Fremont / Ballard,Not available,Not available,Not available
Marlon Wayans,2/16/2024,The Moore Theatre,Theatre,Downtown,Not available,Not available,Not available
Riley Mulherkar: Album Release Show,2/16/2024,The Royal Room,Music,South Seattle,Not available,Not available,Not available
Yeah!,2/16/2024,Nectar Lounge,Music,Fremont / Ballard,Not available,Not available,Not available
Circa:Humans 2.0,2/15/2024 through 2/17/2024,Meany Center for the Performing Arts,Theatre,University District,Not available,Not available,Not available
Big Business,2/17/2024,Tractor Tavern,Music,Fremont / Ballard,Not available,Not available,Not available
David Wax Museum,2/17/2024,Fremont Abbey Arts Center,Music,Fremont / Ballard,Not available,Not available,Not available
Jon Batiste,2/17/2024,The Paramount Theatre,Music,Downtown,Not available,Not available,Not available
lespecial,2/17/2024,High Dive,Music,Fremont / Ballard,Not available,Not available,Not available
TobyMac Hits Deep 2024,2/17/2024,accesso ShoWare Center,Music,South,Not available,Not available,Not available
A Case for the Existence of God,2/2/2024 through 2/18/2024,ACT Theatre,Theatre,Downtown,Not available,Not available,Not available
Northwest Flower & Garden Festival,2/14/2024 through 2/18/2024,Seattle Convention Center,Festivals & Special Events,Downtown,Not available,Not available,Not available
The Princess Bride in Concert with the Seattle Symphony,2/14/2024 through 2/18/2024,Benaroya Hall,Music,Downtown,Not available,Not available,Not available
Mindi Abair Wine and Jazz Tour 2024,2/15/2024 through 2/18/2024,Dimitriou's Jazz Alley,Music,Downtown,Not available,Not available,Not available
Madonna,2/17/2024 through 2/18/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,Not available,Not available,Not available
Aqua Fools’ Day,2/18/2024,High Dive,Music,Fremont / Ballard,Not available,Not available,Not available
Dr. Joy Buolamwini,2/18/2024,Town Hall Seattle,Readings & Lectures,Downtown,Not available,Not available,Not available
La Nef: Red Sky at Night,2/18/2024,Town Hall Seattle,Music,Downtown,Not available,Not available,Not available
Love Beyond Border,2/18/2024,Benaroya Hall,Music,Downtown,Not available,Not available,Not available
"Meet the Author: Maggie Taft, The Chieftain and the Chair",2/18/2024,National Nordic Museum,Museums,Fremont / Ballard,Not available,Not available,Not available
Seattle Kraken vs. Detroit Red Wings,2/19/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
The Thrifted,2/19/2024,High Dive,Music,Fremont / Ballard,Not available,Not available,Not available
Black and Boujee,Now through 2/20/2024,Bainbridge Island Museum of Art,Museums,West,Not available,Not available,Not available
From Mozart to Matthews,2/20/2024,Benaroya Hall,Music,Downtown,Not available,Not available,Not available
Lukas Nelson,2/20/2024,The Showbox,Music,Downtown,Not available,Not available,Not available
Mahogany – smARTfilms: Black Luxury,2/20/2024,Bainbridge Island Museum of Art,Film & Media Arts,West,Not available,Not available,Not available
Robots Who Paint,2/20/2024,Town Hall Seattle,Readings & Lectures,Downtown,Not available,Not available,Not available
Trask,2/20/2024,High Dive,Music,Fremont / Ballard,Not available,Not available,Not available
"Wu Han, Philip Setzer & David Finckel",2/20/2024,Meany Center for the Performing Arts,Music,University District,Not available,Not available,Not available
The Cookers,2/20/2024 through 2/21/2024,Dimitriou's Jazz Alley,Music,Downtown,Not available,Not available,Not available
Cesar Cuauhtemoc Garcia Hernandez,2/21/2024,Town Hall Seattle,Readings & Lectures,Downtown,Not available,Not available,Not available
Side-by-Side with Seattle Youth Symphony Orchestra,2/21/2024,Benaroya Hall,Music,Downtown,Not available,Not available,Not available
Bailen,2/22/2024,The Crocodile,Music,Downtown,Not available,Not available,Not available
Dr. Charan Ranganath,2/22/2024,Town Hall Seattle,Readings & Lectures,Downtown,Not available,Not available,Not available
Mountain Holler,2/22/2024,High Dive,Music,Fremont / Ballard,Not available,Not available,Not available
Seattle Kraken vs. Vancouver Canucks,2/22/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
Shabaka,2/22/2024,Town Hall Seattle,Music,Downtown,Not available,Not available,Not available
Funky Friday with F2D,Now through 2/23/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,Not available,Not available,Not available
BLACKSTAR SYMPHONY: The Music of David Bowie,2/23/2024,Benaroya Hall,Music,Downtown,Not available,Not available,Not available
Caligula’s Horse,2/23/2024,El Corazon,Music,Downtown,Not available,Not available,Not available
Opera Talk: The Making of X,2/23/2024,Opera Center,Readings & Lectures,Queen Anne / Seattle Center,Not available,Not available,Not available
Tikkadoom and Nick Drummond,2/23/2024,The Royal Room,Music,South Seattle,Not available,Not available,Not available
Wreckno,2/23/2024,The Showbox,Music,Downtown,Not available,Not available,Not available
Kelly Akashi,Now through 2/24/2024,Henry Art Gallery,Museums,University District,Not available,Not available,Not available
The Lower Depths,2/6/2024 through 2/24/2024,Erickson Theatre,Theatre,Capitol Hill / Central District,Not available,Not available,Not available
Bassekou Kouyate and Vieux Farka Toure,2/22/2024 through 2/24/2024,Town Hall Seattle,Music,Downtown,Not available,Not available,Not available
Crystal Skies,2/24/2024,Nectar Lounge,Music,Fremont / Ballard,Not available,Not available,Not available
Dan Brown Wild Symphony,2/24/2024,Benaroya Hall,Music,Downtown,Not available,Not available,Not available
Nate Jackson,2/24/2024,The Moore Theatre,Theatre,Downtown,Not available,Not available,Not available
Pink Sweat$,2/24/2024,The Showbox,Music,Downtown,Not available,Not available,Not available
Root and Branch,2/24/2024,Town Hall Seattle,Music,Downtown,Not available,Not available,Not available
Seattle Kraken vs. Minnesota Wild,2/24/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
Small Island Big Song,2/24/2024,Meany Center for the Performing Arts,Music,University District,Not available,Not available,Not available
Born With Teeth,2/1/2024 through 2/25/2024,ArtsWest Playhouse and Gallery,Theatre,West Seattle,Not available,Not available,Not available
"Once More, Just For You",2/5/2024 through 2/25/2024,Seattle Public Theater,Theatre,Wallingford / Greenlake,Not available,Not available,Not available
Wintergrass Music Festival,2/22/2024 through 2/25/2024,Hyatt Regency Bellevue,Festivals & Special Events,Bellevue / Eastside,Not available,Not available,Not available
Klezmer Starts Here: The Music of Abe Schwartz,2/25/2024,The Royal Room,Music,South Seattle,Not available,Not available,Not available
Telling the Story,2/25/2024,Town Hall Seattle,Readings & Lectures,Downtown,Not available,Not available,Not available
Cherry Glazerr,2/26/2024,Neumos,Music,Capitol Hill / Central District,Not available,Not available,Not available
Dick & Angel Dare to Do It,2/26/2024,The Paramount Theatre,Theatre,Downtown,Not available,Not available,Not available
Seattle Kraken vs. Boston Bruins,2/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
Hunt for Sleeping Giants | National Geographic Live,2/25/2024 through 2/27/2024,Benaroya Hall,Readings & Lectures,Downtown,Not available,Not available,Not available
Big Tooth,2/27/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,Not available,Not available,Not available
Eric Klinenberg,2/27/2024,Town Hall Seattle,Readings & Lectures,Downtown,Not available,Not available,Not available
Fresh Dressed – smARTfilms: Black Luxury,2/27/2024,Bainbridge Island Museum of Art,Museums,West,Not available,Not available,Not available
Joy Harjo,2/27/2024,Town Hall Seattle,Readings & Lectures,Downtown,Not available,Not available,Not available
Anand Gopal,2/28/2024,Town Hall Seattle,Readings & Lectures,Downtown,Not available,Not available,Not available
Dianne Reeves,2/28/2024,Town Hall Seattle,Music,Downtown,Not available,Not available,Not available
Kassa Overall,2/28/2024,Nectar Lounge,Music,Fremont / Ballard,Not available,Not available,Not available
Playboi Carti,2/28/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,Not available,Not available,Not available
Winter Brilliance,Now through 2/29/2024,Chihuly Garden and Glass,Museums,Queen Anne / Seattle Center,Not available,Not available,Not available
Seattle Museum Month,2/1/2024 through 2/29/2024,Downtown Seattle,Museums,Downtown,Not available,Not available,Not available
JNA and Tavia Rhodes,2/29/2024,The Royal Room,Music,South Seattle,Not available,Not available,Not available
Julian Lage,2/29/2024,Town Hall Seattle,Music,Downtown,Not available,Not available,Not available
MarchFourth,2/29/2024,Nectar Lounge,Music,Fremont / Ballard,Not available,Not available,Not available
Seattle Kraken vs. Pittsburgh Penguins,2/29/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
The Human Family,2/29/2024,LANGSTON Seattle,Music,Capitol Hill / Central District,Not available,Not available,Not available
Enjambre,3/1/2024,Nectar Lounge,Music,Fremont / Ballard,Not available,Not available,Not available
Fall Out Boy,3/1/2024,Climate Pledge Arena,Readings & Lectures,Queen Anne / Seattle Center,Not available,Not available,Not available
Global Rhythms: Justin Adams and Mauro Durante,3/1/2024,Town Hall Seattle,Music,Downtown,Not available,Not available,Not available
Sloane Crosley with Ben Gibbard,3/1/2024,Town Hall Seattle,Readings & Lectures,Downtown,Not available,Not available,Not available
Tacoma Stars vs. Harrisburg Heat,3/1/2024,accesso ShoWare Center,Sports,South,Not available,Not available,Not available
Tommy Emmanuel,3/1/2024,The Moore Theatre,Music,Downtown,Not available,Not available,Not available
Facades,2/1/2024 through 3/2/2024,Harris Harvey Gallery,Visual Arts & Galleries,Downtown,Not available,Not available,Not available
Conrad Tao’s Playlist,3/1/2024 through 3/2/2024,Benaroya Hall,Music,Downtown,Not available,Not available,Not available
Crypta,3/2/2024,El Corazon,Music,Downtown,Not available,Not available,Not available
Seattle Kraken vs. Edmonton Oilers,3/2/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
Seattle Sounders FC vs. Austin FC,3/2/2024,Lumen Field,Sports,Pioneer Square,Not available,Not available,Not available
Emerald City Comic Con,2/29/2024 through 3/3/2024,Seattle Convention Center,Festivals & Special Events,Downtown,Not available,Not available,Not available
Briscoe,3/3/2024,Tractor Tavern,Music,Fremont / Ballard,Not available,Not available,Not available
Tacoma Stars vs. Harrisburg Heat,3/3/2024,accesso ShoWare Center,Music,South,Not available,Not available,Not available
Eve’s Bayou – smARTfilms: Black Luxury,3/5/2024,Bainbridge Island Museum of Art,Museums,West,Not available,Not available,Not available
Atlus,3/7/2024,Nectar Lounge,Music,Fremont / Ballard,Not available,Not available,Not available
Calidore Quartet & Abeo Quartet,3/8/2024,415 Westlake,Music,Queen Anne / Seattle Center,Not available,Not available,Not available
Holding / Movement,3/8/2024,Benaroya Hall,Music,Downtown,Not available,Not available,Not available
Seattle Kraken vs. Winnipeg Jets,3/8/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
X:The Life and Times of Malcolm X,2/24/2024 through 3/9/2024,Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,Not available,Not available,Not available
Bach St. John Passion,3/7/2024 through 3/9/2024,Benaroya Hall,Music,Downtown,Not available,Not available,Not available
Ariel Pink,3/9/2024,El Corazon,Music,Downtown,Not available,Not available,Not available
Helene Grimaud,3/9/2024,Meany Center for the Performing Arts,Music,University District,Not available,Not available,Not available
Josiah and the Bonnevilles,3/9/2024,Barboza,Music,Capitol Hill / Central District,Not available,Not available,Not available
Mahan Esfahan,3/9/2024,Town Hall Seattle,Music,Downtown,Not available,Not available,Not available
Positive Fragmentation,Now through 3/10/2024,Bellevue Arts Museum,Museums,Bellevue / Eastside,Not available,Not available,Not available
Antonio M. Gomez: LINEAJES,Now through 3/10/2024,Frye Art Museum,Museums,Capitol Hill / Central District,Not available,Not available,Not available
Soren Solkaer: Sort Sol,Now through 3/10/2024,National Nordic Museum,Museums,Fremont / Ballard,Not available,Not available,Not available
Luchadora!,2/22/2024 through 3/10/2024,Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center,Not available,Not available,Not available
Wild Cats Revealed | National Geographic Live,3/10/2024 through 3/12/2024,Benaroya Hall,Readings & Lectures,Downtown,Not available,Not available,Not available
Seattle Kraken vs. Vegas Golden Knights,3/12/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
Seattle Kraken vs. Washington Capitals,3/14/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
Autoheart,3/15/2024,El Corazon,Music,Downtown,Not available,Not available,Not available
The Snuts,3/15/2024,Barboza,Music,Capitol Hill / Central District,Not available,Not available,Not available
Mark Morris Dance Group: The Look of Love,3/14/2024 through 3/16/2024,Meany Center for the Performing Arts,Music,University District,Not available,Not available,Not available
Sibelius & Nielsen,3/14/2024 through 3/16/2024,Benaroya Hall,Music,Downtown,Not available,Not available,Not available
Tacoma Stars vs. Chihuahua Savage,3/15/2024 through 3/16/2024,accesso ShoWare Center,Sports,South,Not available,Not available,Not available
Seattle Kraken vs. Nashville Predators,3/16/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
Seattle Sounders FC vs. Colorado Rapids,3/16/2024,Lumen Field,Sports,Pioneer Square,Not available,Not available,Not available
Native Portraiture: Power and Perception,Now through 3/17/2024,Tacoma Art Museum,Museums,South,Not available,Not available,Not available
Places to Call Home: Settlements in the West,Now through 3/17/2024,Tacoma Art Museum,Museums,South,Not available,Not available,Not available
Nobody Lives Here,Now through 3/17/2024,Wing Luke Museum,Museums,International District,Not available,Not available,Not available
Rootabaga Country,3/8/2024 through 3/17/2024,Opera Center,Music,Queen Anne / Seattle Center,Not available,Not available,Not available
Seattle Kraken vs. Buffalo Sabres,3/18/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
Tacoma Stars vs. Empire Strykers,3/23/2024,accesso ShoWare Center,Sports,South,Not available,Not available,Not available
Something’s Afoot,3/1/2024 through 3/24/2024,The 5th Avenue Theatre,Theatre,Downtown,Not available,Not available,Not available
One Thousand Pieces,3/15/2024 through 3/24/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,Not available,Not available,Not available
Simon Trpceski Plays Tchaikovsky,3/21/2024 through 3/24/2024,Benaroya Hall,Music,Downtown,Not available,Not available,Not available
Celebrate Holi! Spring Festival of Colors from South Asia,3/24/2024,Burke Museum,Museums,University District,Not available,Not available,Not available
Seattle Kraken vs. Montreal Canadiens,3/24/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
Seattle Kraken vs. Anaheim Ducks,3/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
Seattle Kraken vs. Anaheim Ducks,3/28/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
Tim McGraw,3/29/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,Not available,Not available,Not available
Harold and the Purple Crayon,3/23/2024 through 3/30/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,Not available,Not available,Not available
Monster Jam,3/30/2024,Lumen Field,Festivals & Special Events,Pioneer Square,Not available,Not available,Not available
Seattle Kraken vs. Dallas Stars,3/30/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,Not available,Not available,Not available
Illuminate: Glass Art for Early Learners,Now through 3/31/2024,Museum of Glass,Museums,South,Not available,Not available,Not available
Al Young’s 1970 Dodge Challenger Drag Racer,Now through 3/31/2024,Museum of History & Industry,Museums,Queen Anne / Seattle Center,Not available,Not available,Not available
